File: trkwebctrl
Build ID: 1485ab068a0a7a8ca708d3b6fb2684166b991d47
Type: cpu
Time: Jul 13, 2023 at 4:36pm (MSK)
Duration: 100s, Total samples = 158.47s (158.47%)
Showing nodes accounting for 122.99s, 77.61% of 158.47s total
Dropped 867 nodes (cum <= 0.79s)
      flat  flat%   sum%        cum   cum%
     0.09s 0.057% 75.48%     10.92s  6.89%  marketingPlatform/ak/daemonlogger.(*LogFile).Write
     0.09s 0.057% 75.54%      1.74s  1.10%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.FingerPrintBuilder.Parse
     0.09s 0.057% 75.60%      8.36s  5.28%  os.(*File).write (inline)
     0.09s 0.057% 75.65%      2.03s  1.28%  runtime.(*mcache).nextFree
     0.09s 0.057% 75.71%      1.22s  0.77%  runtime.(*mcentral).cacheSpan
     0.08s  0.05% 75.76%      6.13s  3.87%  github.com/json-iterator/go.(*placeholderEncoder).Encode
     0.08s  0.05% 75.81%      0.89s  0.56%  github.com/json-iterator/go.(*structFieldEncoder).IsEmbeddedPtrNil
     0.08s  0.05% 75.86%      0.93s  0.59%  net/textproto.(*Reader).ReadMIMEHeader
     0.08s  0.05% 75.91%     12.40s  7.82%  runtime.callers.func1
     0.08s  0.05% 75.96%      4.68s  2.95%  runtime.pcdatavalue
     0.08s  0.05% 76.01%      1.47s  0.93%  sort.pdqsort_func
     0.07s 0.044% 76.06%      1.77s  1.12%  fmt.Sprintf
     0.07s 0.044% 76.10%      1.16s  0.73%  github.com/json-iterator/go.(*frozenConfig).getEncoderFromCache (inline)
     0.07s 0.044% 76.15%    133.43s 84.20%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.syncReq.func2
     0.07s 0.044% 76.19%      2.67s  1.68%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.getServerFprint
     0.07s 0.044% 76.24%      1.64s  1.03%  net.(*conn).Read
     0.07s 0.044% 76.28%      1.12s  0.71%  runtime.wakep
     0.07s 0.044% 76.32%      9.39s  5.93%  sync.(*Mutex).Lock (inline)
     0.06s 0.038% 76.36%      8.81s  5.56%  bufio.(*Writer).Write
     0.06s 0.038% 76.40%      1.76s  1.11%  github.com/gin-gonic/gin.(*Context).ClientIP
     0.06s 0.038% 76.44%    140.23s 88.49%  github.com/gin-gonic/gin.(*Context).Next (inline)
     0.06s 0.038% 76.48%      6.75s  4.26%  runtime.park_m
     0.06s 0.038% 76.51%     16.78s 10.59%  syscall.write
     0.05s 0.032% 76.54%      1.38s  0.87%  internal/poll.(*FD).Read
     0.05s 0.032% 76.58%     34.58s 21.82%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).RestoreAcidProccesing
     0.05s 0.032% 76.61%      1.43s   0.9%  net.(*netFD).Read
     0.05s 0.032% 76.64%      9.07s  5.72%  net.(*netFD).Write
     0.05s 0.032% 76.67%      8.78s  5.54%  net/http.(*chunkWriter).Write
     0.05s 0.032% 76.70%      1.26s   0.8%  net/http.(*connReader).abortPendingRead
     0.05s 0.032% 76.73%      3.78s  2.39%  runtime.funcspdelta
     0.05s 0.032% 76.77%      8.85s  5.58%  sync.runtime_SemacquireMutex
     0.05s 0.032% 76.80%     17.21s 10.86%  syscall.RawSyscall6
     0.05s 0.032% 76.83%      1.16s  0.73%  syscall.read
     0.04s 0.025% 76.85%     77.76s 49.07%  encoding/json.(*encodeState).reflectValue
     0.04s 0.025% 76.88%     79.11s 49.92%  encoding/json.Marshal
     0.04s 0.025% 76.90%    140.33s 88.55%  github.com/gin-gonic/gin.(*Engine).handleHTTPRequest
     0.04s 0.025% 76.93%      4.22s  2.66%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).getTemplateVariables
     0.04s 0.025% 76.95%      4.16s  2.63%  net/http.(*response).finishRequest
     0.04s 0.025% 76.98%      9.15s  5.77%  net/http.checkConnErrorWriter.Write
     0.04s 0.025% 77.01%      0.86s  0.54%  runtime.futexsleep
     0.04s 0.025% 77.03%     10.78s  6.80%  runtime.saveblockevent
     0.04s 0.025% 77.06%      2.94s  1.86%  sync.(*Mutex).unlockSlow
     0.03s 0.019% 77.07%      1.09s  0.69%  bufio.(*Reader).fill
     0.03s 0.019% 77.09%     77.81s 49.10%  encoding/json.(*encodeState).marshal
     0.03s 0.019% 77.11%     77.20s 48.72%  encoding/json.marshalerEncoder
     0.03s 0.019% 77.13%     24.97s 15.76%  github.com/json-iterator/go.(*onePtrEncoder).Encode
     0.03s 0.019% 77.15%     17.99s 11.35%  internal/poll.ignoringEINTRIO (inline)
     0.03s 0.019% 77.17%     26.56s 16.76%  marketingPlatform/ak/backendController.R.MarshalJSON
     0.03s 0.019% 77.19%      9.10s  5.74%  net.(*conn).Write
     0.03s 0.019% 77.21%      0.99s  0.62%  runtime.funcline1
     0.03s 0.019% 77.23%      1.04s  0.66%  runtime.futexwakeup
     0.03s 0.019% 77.24%      7.13s  4.50%  runtime.mcall
     0.03s 0.019% 77.26%      1.13s  0.71%  runtime.startm
     0.03s 0.019% 77.28%      0.96s  0.61%  runtime.stopm
     0.03s 0.019% 77.30%      0.90s  0.57%  sync.(*Cond).Wait
     0.03s 0.019% 77.32%      2.93s  1.85%  sync.runtime_Semrelease
     0.02s 0.013% 77.33%      6.72s  4.24%  bufio.(*Writer).Flush
     0.02s 0.013% 77.35%      1.38s  0.87%  encoding/json.(*decodeState).value
     0.02s 0.013% 77.36%     88.07s 55.58%  github.com/gin-gonic/gin.(*Context).Render
