File: trkwebctrl
Build ID: eb53bae02d1c0cebf181d6aa585422bdebdd5c7b
Type: cpu
Time: Jul 11, 2023 at 12:45pm (MSK)
Duration: 250.20s, Total samples = 1114.10s (445.28%)
Showing nodes accounting for 974.50s, 87.47% of 1114.10s total
Dropped 1490 nodes (cum <= 5.57s)
      flat  flat%   sum%        cum   cum%
     0.23s 0.021% 86.76%    320.03s 28.73%  github.com/syndtr/goleveldb/leveldb/iterator.(*indexedIterator).setData
     0.23s 0.021% 86.78%     10.40s  0.93%  io.(*multiWriter).Write
     0.22s  0.02% 86.80%    915.82s 82.20%  github.com/gin-gonic/gin.(*Context).Next (inline)
     0.21s 0.019% 86.81%     29.59s  2.66%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).getDataIterErr
     0.20s 0.018% 86.83%    296.91s 26.65%  github.com/syndtr/goleveldb/leveldb/iterator.(*mergedIterator).Seek
     0.19s 0.017% 86.85%    480.44s 43.12%  github.com/syndtr/goleveldb/leveldb/cache.(*NamespaceGetter).Get (inline)
     0.19s 0.017% 86.87%    846.78s 76.01%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).getPopupContent
     0.18s 0.016% 86.88%    486.90s 43.70%  github.com/syndtr/goleveldb/leveldb.(*version).walkOverlapping
     0.18s 0.016% 86.90%     18.61s  1.67%  log.(*Logger).Output
     0.18s 0.016% 86.91%      6.31s  0.57%  runtime.(*mcache).nextFree
     0.17s 0.015% 86.93%     55.73s  5.00%  os.(*File).write (inline)
     0.16s 0.014% 86.94%     29.40s  2.64%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).getDataIter
     0.16s 0.014% 86.96%     10.14s  0.91%  marketingPlatform/ak/daemonlogger.(*LogFile).Write
     0.16s 0.014% 86.97%    925.18s 83.04%  net/http.(*conn).serve
     0.15s 0.013% 86.99%    413.28s 37.10%  internal/poll.(*FD).Pread
     0.15s 0.013% 87.00%    216.88s 19.47%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).overwriteAcid
     0.15s 0.013% 87.01%      8.19s  0.74%  sync.(*Mutex).Lock (inline)
     0.14s 0.013% 87.03%    485.33s 43.56%  github.com/syndtr/goleveldb/leveldb.(*tOps).find
     0.13s 0.012% 87.04%      7.76s   0.7%  runtime.semacquire1
     0.13s 0.012% 87.05%    412.69s 37.04%  syscall.Syscall6
     0.13s 0.012% 87.06%    412.74s 37.05%  syscall.pread
     0.12s 0.011% 87.07%     64.26s  5.77%  internal/poll.ignoringEINTRIO (inline)
     0.12s 0.011% 87.08%    839.83s 75.38%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).RestoreAcidProccesing
     0.12s 0.011% 87.09%      8.01s  0.72%  runtime.scanstack
     0.11s 0.0099% 87.10%     46.41s  4.17%  encoding/json.marshalerEncoder
     0.11s 0.0099% 87.11%     14.63s  1.31%  github.com/json-iterator/go.(*structFieldEncoder).Encode
     0.11s 0.0099% 87.12%    915.73s 82.19%  marketingPlatform/ak/tools/ginlogger.middleware.func1
     0.10s 0.009% 87.13%      5.67s  0.51%  github.com/syndtr/goleveldb/leveldb.(*DB).Write
     0.10s 0.009% 87.14%     47.88s  4.30%  github.com/syndtr/goleveldb/leveldb/table.(*Writer).finishBlock
     0.10s 0.009% 87.15%    304.20s 27.30%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).HGetAll
     0.10s 0.009% 87.16%      5.93s  0.53%  runtime.pcdatavalue
     0.09s 0.0081% 87.17%    296.16s 26.58%  github.com/syndtr/goleveldb/leveldb/iterator.(*indexedIterator).Seek
     0.09s 0.0081% 87.18%    290.81s 26.10%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).NewIterator
     0.09s 0.0081% 87.18%    718.06s 64.45%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).getIndexBlock
     0.08s 0.0072% 87.19%      6.64s   0.6%  bufio.(*Writer).Flush
     0.08s 0.0072% 87.20%     15.20s  1.36%  github.com/json-iterator/go.(*dynamicEncoder).Encode
     0.08s 0.0072% 87.20%     78.67s  7.06%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).hIncrSize
     0.08s 0.0072% 87.21%      5.62s   0.5%  runtime.funcspdelta
     0.08s 0.0072% 87.22%      8.54s  0.77%  runtime.park_m
