File: trkwebctrl
Build ID: eb53bae02d1c0cebf181d6aa585422bdebdd5c7b
Type: alloc_space
Time: Jul 11, 2023 at 12:49pm (MSK)
Showing nodes accounting for 477384.66MB, 97.77% of 488249.39MB total
Dropped 456 nodes (cum <= 2441.25MB)
      flat  flat%   sum%        cum   cum%
         0     0% 97.77% 108294.83MB 22.18%  github.com/syndtr/goleveldb/leveldb/iterator.(*mergedIterator).Seek
         0     0% 97.77% 363469.65MB 74.44%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).Find (inline)
         0     0% 97.77% 363469.65MB 74.44%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).find
         0     0% 97.77% 77714.52MB 15.92%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).getFilterBlock
         0     0% 97.77% 395004.89MB 80.90%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).getIndexBlock
         0     0% 97.77% 395898.27MB 81.09%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readBlockCached
         0     0% 97.77% 285380.99MB 58.45%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readBlockCached.func1
         0     0% 97.77% 77714.52MB 15.92%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readFilterBlockCached
         0     0% 97.77% 77654.02MB 15.90%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readFilterBlockCached.func1
         0     0% 97.77% 473252.77MB 96.93%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readRawBlock
         0     0% 97.77% 107221.62MB 21.96%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).HGet
         0     0% 97.77% 256480.22MB 52.53%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).HSet
         0     0% 97.77% 101991.45MB 20.89%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).hIncrSize
         0     0% 97.77% 256344.95MB 52.50%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).hSetItem
         0     0% 97.77% 363607.21MB 74.47%  lab.altkraft.com/altkraft/ledisdb/store.(*DB).Get
         0     0% 97.77% 108343.87MB 22.19%  lab.altkraft.com/altkraft/ledisdb/store.(*Iterator).Seek (inline)
         0     0% 97.77% 108346.87MB 22.19%  lab.altkraft.com/altkraft/ledisdb/store.NewRangeLimitIterator (inline)
         0     0% 97.77% 363607.21MB 74.47%  lab.altkraft.com/altkraft/ledisdb/store/goleveldb.(*DB).Get
         0     0% 97.77% 108343.87MB 22.19%  lab.altkraft.com/altkraft/ledisdb/store/goleveldb.(*Iterator).Seek
         0     0% 97.77% 482327.67MB 98.79%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.syncReq.func2
         0     0% 97.77% 257382.21MB 52.72%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).overwriteAcid
         0     0% 97.77% 11768.16MB  2.41%  net/http.serverHandler.ServeHTTP
