File: trkwebctrl
Build ID: 2a6e97ebd0584c23046de2e113885e697b606e55
Type: cpu
Time: Aug 14, 2023 at 6:06pm (MSK)
Duration: 600.11s, Total samples = 2396.06s (399.27%)
Showing nodes accounting for 1708.32s, 71.30% of 2396.06s total
Dropped 1733 nodes (cum <= 11.98s)
      flat  flat%   sum%        cum   cum%
     1.86s 0.078% 66.82%     45.25s  1.89%  net/textproto.(*Reader).ReadMIMEHeader
     1.83s 0.076% 66.90%     29.63s  1.24%  runtime.(*Frames).Next
     1.82s 0.076% 66.98%    175.04s  7.31%  bufio.(*Writer).Flush
     1.80s 0.075% 67.05%     64.90s  2.71%  runtime.funcspdelta
     1.78s 0.074% 67.13%     36.75s  1.53%  bufio.(*Reader).Peek
     1.74s 0.073% 67.20%     13.21s  0.55%  fmt.(*pp).doPrint
     1.74s 0.073% 67.27%     13.27s  0.55%  sync.(*Map).Load
     1.73s 0.072% 67.34%    186.38s  7.78%  runtime.semacquire1
     1.70s 0.071% 67.41%    233.81s  9.76%  runtime.callers
     1.69s 0.071% 67.48%    276.96s 11.56%  syscall.write
     1.68s  0.07% 67.55%    342.43s 14.29%  syscall.RawSyscall6
     1.67s  0.07% 67.62%     19.43s  0.81%  runtime.(*mcentral).cacheSpan
     1.66s 0.069% 67.69%    106.73s  4.45%  runtime.mcall
     1.64s 0.068% 67.76%     21.74s  0.91%  bufio.(*Reader).ReadSlice
     1.61s 0.067% 67.83%     29.26s  1.22%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.JoinFPs
     1.55s 0.065% 67.89%     33.32s  1.39%  runtime.(*mcache).nextFree
     1.46s 0.061% 67.95%     90.03s  3.76%  runtime.park_m
     1.45s 0.061% 68.02%    155.89s  6.51%  net/http.(*response).finishRequest
     1.42s 0.059% 68.07%     92.66s  3.87%  bufio.(*Writer).Write
     1.36s 0.057% 68.13%    187.32s  7.82%  net.(*netFD).Write
     1.36s 0.057% 68.19%     90.69s  3.78%  runtime.pcdatavalue
     1.33s 0.056% 68.24%    334.78s 13.97%  internal/poll.ignoringEINTRIO (inline)
